category,transform,threshold,roc_auc,average_precision,accuracy,precision,recall,f1_score,true_negative,false_positive,false_negative,true_positive,seconds_per_image,clean_roc_auc,clean_accuracy,clean_precision,clean_recall,clean_f1_score,clean_false_positive,clean_false_negative,roc_auc_change,accuracy_change,precision_change,recall_change,f1_change,false_positive_change,false_negative_change
cable,contrast_down,0.8156431227922439,0.9261619190404797,0.9604111046600123,0.86,0.961038961038961,0.8043478260869565,0.8757396449704142,55,3,18,74,0.060118313333950936,0.931409295352324,0.84,0.9594594594594594,0.7717391304347826,0.8554216867469879,3,21,-0.005247376311844243,0.020000000000000018,0.0015795015795015965,0.03260869565217395,0.020317958223426302,0,-3
cable,gaussian_noise,0.8156431227922439,0.8541979010494753,0.9164267327548307,0.6133333333333333,0.6133333333333333,1.0,0.7603305785123967,0,58,0,92,0.061025153333321216,0.931409295352324,0.84,0.9594594594594594,0.7717391304347826,0.8554216867469879,3,21,-0.07721139430284862,-0.22666666666666668,-0.34612612612612614,0.2282608695652174,-0.09509110823459122,55,-21
cable,gaussian_blur,0.8156431227922439,0.9272863568215892,0.9608356926280915,0.8733333333333333,0.9397590361445783,0.8478260869565217,0.8914285714285715,53,5,14,78,0.0602400193332384,0.931409295352324,0.84,0.9594594594594594,0.7717391304347826,0.8554216867469879,3,21,-0.004122938530734754,0.033333333333333326,-0.019700423314881088,0.07608695652173914,0.03600688468158353,2,-7
cable,rotation_5_degrees,0.8156431227922439,0.6101949025487255,0.7415702291067141,0.6133333333333333,0.6133333333333333,1.0,0.7603305785123967,0,58,0,92,0.06232607066708928,0.931409295352324,0.84,0.9594594594594594,0.7717391304347826,0.8554216867469879,3,21,-0.3212143928035984,-0.22666666666666668,-0.34612612612612614,0.2282608695652174,-0.09509110823459122,55,-21
carpet,clean,0.6521247327327728,1.0,1.0,0.9401709401709402,0.9270833333333334,1.0,0.9621621621621622,21,7,0,89,0.06042976581200989,1.0,0.9401709401709402,0.9270833333333334,1.0,0.9621621621621622,7,0,0.0,0.0,0.0,0.0,0.0,0,0
carpet,brightness_down,0.6521247327327728,0.9987961476725522,0.9996212280614505,0.9914529914529915,0.9888888888888889,1.0,0.994413407821229,27,1,0,89,0.061674905127973065,1.0,0.9401709401709402,0.9270833333333334,1.0,0.9621621621621622,7,0,-0.0012038523274477964,0.05128205128205132,0.06180555555555556,0.0,0.032251245659066785,-6,0
carpet,brightness_up,0.6521247327327728,0.9947833065810594,0.9984051762877828,0.7948717948717948,0.7876106194690266,1.0,0.8811881188118812,4,24,0,89,0.060786120512952596,1.0,0.9401709401709402,0.9270833333333334,1.0,0.9621621621621622,7,0,-0.005216693418940599,-0.14529914529914534,-0.13947271386430682,0.0,-0.08097404335028102,17,0
carpet,contrast_down,0.6521247327327728,0.9995987158908507,0.9998751560549315,0.9914529914529915,0.9888888888888889,1.0,0.994413407821229,27,1,0,89,0.06203215128173017,1.0,0.9401709401709402,0.9270833333333334,1.0,0.9621621621621622,7,0,-0.00040128410914930246,0.05128205128205132,0.06180555555555556,0.0,0.032251245659066785,-6,0
carpet,gaussian_noise,0.6521247327327728,0.9406099518459069,0.9820038476737132,0.7606837606837606,0.7606837606837606,1.0,0.8640776699029126,0,28,0,89,0.0622892376069282,1.0,0.9401709401709402,0.9270833333333334,1.0,0.9621621621621622,7,0,-0.0593900481540931,-0.17948717948717952,-0.16639957264957272,0.0,-0.09808449225924964,21,0
carpet,gaussian_blur,0.6521247327327728,0.9879614767255216,0.9963526079076062,0.7606837606837606,0.7606837606837606,1.0,0.8640776699029126,0,28,0,89,0.060891758119209834,1.0,0.9401709401709402,0.9270833333333334,1.0,0.9621621621621622,7,0,-0.012038523274478408,-0.17948717948717952,-0.16639957264957272,0.0,-0.09808449225924964,21,0
