shots,seed,query_images,accuracy,macro_f1,weighted_f1,recall_broken_large,recall_broken_small,recall_contamination
5,1,48,0.625,0.598711029127098,0.6017000296053382,0.6666666666666666,0.8823529411764706,0.3125
5,2,48,0.625,0.6187739463601533,0.6222461685823755,0.4666666666666667,0.7647058823529411,0.625
5,3,48,0.6875,0.6875,0.6875,0.6666666666666666,0.5882352941176471,0.8125
5,4,48,0.5833333333333334,0.5851780351780352,0.5893286143286143,0.6,0.7058823529411765,0.4375
5,5,48,0.5833333333333334,0.5776460254721124,0.5833909749670619,0.4666666666666667,0.8235294117647058,0.4375
5,6,48,0.6875,0.6800915331807781,0.6836003051106027,0.8,0.8235294117647058,0.4375
5,7,48,0.5625,0.56374620913628,0.5645670654535903,0.8666666666666667,0.47058823529411764,0.375
5,8,48,0.6458333333333334,0.6486580994842206,0.6488875775854531,0.8666666666666667,0.5882352941176471,0.5
5,9,48,0.625,0.6229486760379209,0.6228860193963168,0.8,0.6470588235294118,0.4375
5,10,48,0.6666666666666666,0.6597222222222222,0.6631944444444444,0.4666666666666667,0.7058823529411765,0.8125
5,11,48,0.6458333333333334,0.6478023014525561,0.6480852669307677,0.8,0.5882352941176471,0.5625
5,12,48,0.6875,0.6869376693766939,0.6853929539295393,0.8666666666666667,0.4117647058823529,0.8125
5,13,48,0.7083333333333334,0.7056835637480798,0.7086597542242704,0.6,0.7647058823529411,0.75
5,14,48,0.7083333333333334,0.7051709321092456,0.703262225156679,0.8666666666666667,0.47058823529411764,0.8125
5,15,48,0.6875,0.6785877737822817,0.6798095782935599,0.8666666666666667,0.7647058823529411,0.4375
5,16,48,0.5833333333333334,0.5813908313908315,0.5820585664335663,0.9333333333333333,0.47058823529411764,0.375
5,17,48,0.5625,0.5651051748612724,0.5631855723319138,0.7333333333333333,0.35294117647058826,0.625
5,18,48,0.6458333333333334,0.6357808857808859,0.6381118881118882,0.6666666666666666,0.8235294117647058,0.4375
5,19,48,0.625,0.6231438812083974,0.6265168970814131,0.4666666666666667,0.6470588235294118,0.75
10,0,33,0.7575757575757576,0.7593342330184436,0.7624422361264467,0.7,0.8333333333333334,0.7272727272727273
10,1,33,0.6666666666666666,0.671957671957672,0.6748436748436748,0.6,0.75,0.6363636363636364
10,2,33,0.7575757575757576,0.7555555555555555,0.7595959595959596,0.7,0.8333333333333334,0.7272727272727273
10,3,33,0.7272727272727273,0.7288888888888888,0.7305050505050505,0.7,0.75,0.7272727272727273
10,4,33,0.7575757575757576,0.7531328320802005,0.757803599908863,0.6,0.9166666666666666,0.7272727272727273
10,5,33,0.6666666666666666,0.6559290382819795,0.6653085476614888,0.5,0.9166666666666666,0.5454545454545454
10,6,33,0.7878787878787878,0.7891143317230274,0.7873634899721856,0.7,0.75,0.9090909090909091
10,7,33,0.6666666666666666,0.6719607843137255,0.6777183600713013,0.7,0.75,0.5454545454545454
10,8,33,0.6666666666666666,0.6794896331738437,0.6818036827606206,0.7,0.5833333333333334,0.7272727272727273
10,9,33,0.6666666666666666,0.6444444444444444,0.6464646464646464,0.7,0.9166666666666666,0.36363636363636365
10,10,33,0.696969696969697,0.7037037037037037,0.7037037037037037,1.0,0.5,0.6363636363636364
10,11,33,0.696969696969697,0.6883333333333334,0.6931818181818182,0.8,0.8333333333333334,0.45454545454545453
10,12,33,0.7575757575757576,0.7620975515712357,0.7670925565662408,0.9,0.75,0.6363636363636364
10,13,33,0.7575757575757576,0.7564102564102564,0.7554778554778555,0.8,0.8333333333333334,0.6363636363636364
10,14,33,0.6363636363636364,0.6222222222222222,0.6222222222222221,0.9,0.6666666666666666,0.36363636363636365
10,15,33,0.6666666666666666,0.667432216905901,0.6727214731042482,0.6,0.75,0.6363636363636364
10,16,33,0.7272727272727273,0.7362573099415205,0.7372674109516214,0.9,0.5833333333333334,0.7272727272727273
10,17,33,0.7575757575757576,0.764102564102564,0.7673659673659674,0.9,0.6666666666666666,0.7272727272727273
10,18,33,0.5454545454545454,0.5296637395587921,0.5313901490813036,0.8,0.5833333333333334,0.2727272727272727
10,19,33,0.8181818181818182,0.8171717171717172,0.8176308539944903,0.9,0.8333333333333334,0.7272727272727273
