image_path,defect_type,dice_score,iou,pixel_precision,pixel_recall
D:\PROJECTS\ANOMALY DETECTION\data\raw\mvtec_ad\bottle\test\contamination\007.png,contamination,0.5661885727721608,0.3948835683830764,0.3964873765093304,0.9898602356810084
D:\PROJECTS\ANOMALY DETECTION\data\raw\mvtec_ad\bottle\test\contamination\008.png,contamination,0.6511698571862655,0.48276638882631223,0.7200940860215054,0.5942872989462008
D:\PROJECTS\ANOMALY DETECTION\data\raw\mvtec_ad\bottle\test\contamination\009.png,contamination,0.7470661672908864,0.5962534874451972,0.8582903040734366,0.6613616268788682
D:\PROJECTS\ANOMALY DETECTION\data\raw\mvtec_ad\bottle\test\contamination\010.png,contamination,0.7550959678619253,0.6065495398589698,0.8597323394883958,0.6731662024141133
D:\PROJECTS\ANOMALY DETECTION\data\raw\mvtec_ad\bottle\test\contamination\011.png,contamination,0.8809370829832452,0.7872096104584401,0.850950062064356,0.9131147540983606
D:\PROJECTS\ANOMALY DETECTION\data\raw\mvtec_ad\bottle\test\contamination\012.png,contamination,0.3894498869630746,0.241811716264271,0.7690476190476191,0.2607467204843592
D:\PROJECTS\ANOMALY DETECTION\data\raw\mvtec_ad\bottle\test\contamination\013.png,contamination,0.645298320139023,0.47633979475484606,0.47633979475484606,1.0
D:\PROJECTS\ANOMALY DETECTION\data\raw\mvtec_ad\bottle\test\contamination\014.png,contamination,0.24985574148874784,0.14276294098252557,0.14375830013280214,0.9537444933920705
D:\PROJECTS\ANOMALY DETECTION\data\raw\mvtec_ad\bottle\test\contamination\015.png,contamination,0.5514203919841445,0.38066281544542413,0.3940204563335956,0.9182251558489182
D:\PROJECTS\ANOMALY DETECTION\data\raw\mvtec_ad\bottle\test\contamination\016.png,contamination,0.5173542894564506,0.3489399293286219,0.7344737820751208,0.3993125758188435
D:\PROJECTS\ANOMALY DETECTION\data\raw\mvtec_ad\bottle\test\contamination\017.png,contamination,0.7235718099305927,0.5668723204015477,0.5697918856422115,0.9910420475319927
D:\PROJECTS\ANOMALY DETECTION\data\raw\mvtec_ad\bottle\test\contamination\018.png,contamination,0.20672546857772878,0.1152782047340916,0.1152782047340916,1.0
D:\PROJECTS\ANOMALY DETECTION\data\raw\mvtec_ad\bottle\test\contamination\019.png,contamination,0.436028659160696,0.2787958115183246,0.49391304347826087,0.39028859367842417
D:\PROJECTS\ANOMALY DETECTION\data\raw\mvtec_ad\bottle\test\contamination\020.png,contamination,0.5775584073708456,0.4060331266771537,0.8165240044659472,0.4467976784441503
